UNDERLYING,SYMBOL,23-Aug,23-Sep,23-Oct,23-Dec,24-Mar,24-Jun,24-Dec,25-Jun,25-Dec,26-Jun,26-Dec,27-Jun,27-Dec,28-Jun
NIFTY FINANCIAL SERVICES,FINNIFTY,40,40,40,,,,,,,,,,,           
NIFTY MID SELECT,MIDCPNIFTY,75,75,75,,,,,,,,,,,           
NIFTY BANK,BANKNIFTY,15,15,15,15,15,15,,,,,,,,           
NIFTY 50,NIFTY,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,5400,5400,5400,,,,,,,,,,,           
APOLLO TYRES LTD,APOLLOTYRE,1700,1700,1700,,,,,,,,,,,           
ASTRAL LIMITED,ASTRAL,367,367,367,,,,,,,,,,,           
BANDHAN BANK LIMITED,BANDHANBNK,2500,2500,2500,,,,,,,,,,,           
ACC LIMITED,ACC,300,300,300,,,,,,,,,,,           
AARTI INDUSTRIES LTD,AARTIIND,1000,1000,1000,,,,,,,,,,,           
ADANI ENTERPRISES LIMITED,ADANIENT,300,300,300,,,,,,,,,,,           
ABB INDIA LIMITED,ABB,250,250,250,,,,,,,,,,,           
ABBOTT INDIA LIMITED,ABBOTINDIA,40,40,40,,,,,,,,,,,           
ADITYA BIRLA FASHION & RT,ABFRL,2600,2600,2600,,,,,,,,,,,           
ADANI PORT & SEZ LTD,ADANIPORTS,800,800,800,,,,,,,,,,,           
ALKEM LABORATORIES LTD.,ALKEM,200,200,200,,,,,,,,,,,           
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,125,125,125,,,,,,,,,,,           
ATUL LTD,ATUL,75,75,75,,,,,,,,,,,           
AU SMALL FINANCE BANK LTD,AUBANK,1000,1000,1000,,,,,,,,,,,           
AUROBINDO PHARMA LTD,AUROPHARMA,1100,1100,1100,,,,,,,,,,,           
AXIS BANK LIMITED,AXISBANK,625,625,625,,,,,,,,,,,           
ASHOK LEYLAND LTD,ASHOKLEY,5000,5000,5000,,,,,,,,,,,           
BAJAJ FINSERV LTD.,BAJAJFINSV,500,500,500,,,,,,,,,,,           
AMBUJA CEMENTS LTD,AMBUJACEM,1800,1800,1800,,,,,,,,,,,           
BAJAJ FINANCE LIMITED,BAJFINANCE,125,125,125,,,,,,,,,,,           
BHARAT ELECTRONICS LTD,BEL,5700,5700,5700,,,,,,,,,,,           
BALKRISHNA IND. LTD,BALKRISIND,300,300,300,,,,,,,,,,,           
BATA INDIA LTD,BATAINDIA,375,375,375,,,,,,,,,,,           
BERGER PAINTS (I) LTD,BERGEPAINT,1100,1100,1100,,,,,,,,,,,           
BHARAT FORGE LTD,BHARATFORG,1000,1000,1000,,,,,,,,,,,           
BHEL,BHEL,10500,10500,10500,,,,,,,,,,,           
BRITANNIA INDUSTRIES LTD,BRITANNIA,200,200,200,,,,,,,,,,,           
BIRLASOFT LIMITED,BSOFT,2000,2000,2000,,,,,,,,,,,           
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,1250,1250,1250,,,,,,,,,,,           
COAL INDIA LTD,COALINDIA,4200,4200,4200,,,,,,,,,,,           
COFORGE LIMITED,COFORGE,150,150,150,,,,,,,,,,,           
COLGATE PALMOLIVE LTD.,COLPAL,350,350,350,,,,,,,,,,,           
COROMANDEL INTERNTL. LTD,COROMANDEL,700,700,700,,,,,,,,,,,           
CROMPT GREA CON ELEC LTD,CROMPTON,1800,1800,1800,,,,,,,,,,,           
CITY UNION BANK LTD,CUB,5000,5000,5000,,,,,,,,,,,           
CUMMINS INDIA LTD,CUMMINSIND,600,600,600,,,,,,,,,,,           
ASIAN PAINTS LIMITED,ASIANPAINT,200,200,200,,,,,,,,,,,           
DABUR INDIA LTD,DABUR,1250,1250,1250,,,,,,,,,,,           
DALMIA BHARAT LIMITED,DALBHARAT,500,500,500,,,,,,,,,,,           
DELTA CORP LIMITED,DELTACORP,2800,2800,2800,,,,,,,,,,,           
DIVI S LABORATORIES LTD,DIVISLAB,200,200,200,,,,,,,,,,,           
DIXON TECHNO (INDIA) LTD,DIXON,200,200,200,,,,,,,,,,,           
DLF LIMITED,DLF,1650,1650,1650,,,,,,,,,,,           
DR. REDDY S LABORATORIES,DRREDDY,125,125,125,,,,,,,,,,,           
EICHER MOTORS LTD,EICHERMOT,175,175,175,,,,,,,,,,,           
ESCORTS KUBOTA LIMITED,ESCORTS,275,275,275,,,,,,,,,,,           
EXIDE INDUSTRIES LTD,EXIDEIND,3600,3600,3600,,,,,,,,,,,           
FEDERAL BANK LTD,FEDERALBNK,5000,5000,5000,,,,,,,,,,,           
GAIL (INDIA) LTD,GAIL,9150,9150,9150,,,,,,,,,,,           
GLENMARK PHARMACEUTICALS,GLENMARK,1450,1450,1450,,,,,,,,,,,           
GUJ NAR VAL FER & CHEM L,GNFC,1300,1300,1300,,,,,,,,,,,           
GODREJ CONSUMER PRODUCTS,GODREJCP,1000,1000,1000,,,,,,,,,,,           
GODREJ PROPERTIES LTD,GODREJPROP,475,475,475,,,,,,,,,,,           
GRASIM INDUSTRIES LTD,GRASIM,475,475,475,,,,,,,,,,,           
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250,250,250,,,,,,,,,,,           
GUJARAT GAS LIMITED,GUJGASLTD,1250,1250,1250,,,,,,,,,,,           
HAVELLS INDIA LIMITED,HAVELLS,500,500,500,,,,,,,,,,,           
HCL TECHNOLOGIES LTD,HCLTECH,700,700,700,,,,,,,,,,,           
BHARAT PETROLEUM CORP  LT,BPCL,1800,1800,1800,,,,,,,,,,,           
HDFC BANK LTD,HDFCBANK,550,550,550,,,,,,,,,,,           
HDFC LIFE INS CO LTD,HDFCLIFE,1100,1100,1100,,,,,,,,,,,           
HINDALCO  INDUSTRIES  LTD,HINDALCO,1400,1400,1400,,,,,,,,,,,           
HINDUSTAN COPPER LTD,HINDCOPPER,5300,5300,5300,,,,,,,,,,,           
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300,300,300,,,,,,,,,,,           
ICICI BANK LTD.,ICICIBANK,700,700,700,,,,,,,,,,,           
ICICI LOMBARD GIC LIMITED,ICICIGI,500,500,500,,,,,,,,,,,           
ICICI PRU LIFE INS CO LTD,ICICIPRULI,1500,1500,1500,,,,,,,,,,,           
IDFC LIMITED,IDFC,10000,10000,10000,,,,,,,,,,,           
IDFC FIRST BANK LIMITED,IDFCFIRSTB,15000,15000,15000,,,,,,,,,,,           
THE INDIAN HOTELS CO. LTD,INDHOTEL,2000,2000,2000,,,,,,,,,,,           
THE INDIA CEMENTS LIMITED,INDIACEM,2900,2900,2900,,,,,,,,,,,           
