id,name,name_en,name_ko,name_ja
19,Australia and New Zealand,Australia and New Zealand,호주와 뉴질랜드,オーストラリアとニュージーランド
7,Caribbean,Caribbean,카리브해,カリブ海
9,Central America,Central America,중앙 아메리카,中米
10,Central Asia,Central Asia,중앙 아시아,中央アジア
4,Eastern Africa,Eastern Africa,동부 아프리카,東アフリカ
12,Eastern Asia,Eastern Asia,동부 아시아,東アジア
15,Eastern Europe,Eastern Europe,동유럽,東ヨーロッパ
20,Melanesia,Melanesia,멜라네시아,メラネシア
21,Micronesia,Micronesia,미크로네시아,ミクロネシア
2,Middle Africa,Middle Africa,중앙 아프리카,ミドルアフリカ
1,Northern Africa,Northern Africa,북아프리카,北アフリカ
6,Northern America,Northern America,북아메리카,北アメリカ
18,Northern Europe,Northern Europe,북유럽,北欧
22,Polynesia,Polynesia,폴리네시아,ポリネシア
8,South America,South America,남아메리카,南アメリカ
13,South-Eastern Asia,South-Eastern Asia,남동부 아시아,南東アジア
5,Southern Africa,Southern Africa,남아프리카,南アフリカ
14,Southern Asia,Southern Asia,남부 아시아,南アジア
16,Southern Europe,Southern Europe,남부 유럽,南ヨーロッパ
3,Western Africa,Western Africa,서부 아프리카,西アフリカ
11,Western Asia,Western Asia,서부 아시아,西アジア
17,Western Europe,Western Europe,서유럽,西ヨーロッパ
